,source,freq,statement,veracity,length
3,Corey  Stewart,2,"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Pants on Fire!,141
6,Larry Kudlow,2,"""The deficit ... is coming down, and it’s coming down rapidly.""",Pants on Fire!,63
10,Jeff Sessions,3,"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",False,116
23,The Gateway Pundit,2,"""Migrant mother and ‘crying girl’ on Time cover never separated.""",True,65
35,Troy LaRaviere,2,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",True,82
47,Corey  Stewart,2,"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Pants on Fire!,141
50,Larry Kudlow,2,"""The deficit ... is coming down, and it’s coming down rapidly.""",Pants on Fire!,63
54,Jeff Sessions,3,"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",False,116
63,nofakenews-online,1,"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",Pants on Fire!,83
66,HoustonChronicle-tv.com,2,"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",Pants on Fire!,102
68,The Gateway Pundit,2,"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",False,127
72,Evening World,1,"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",Pants on Fire!,102
74,JB Pritzker,1,"""I released way more (tax) information than Bruce Rauner has.""",False,62
75,Gregg Jarrett,1,"""The FBI has become America's secret police …  like the old KGB.""",Pants on Fire!,65
76,Ryan Sitton,1,"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",False,108
84,Troy LaRaviere,2,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",True,82
101,Bill de Blasio,1,"""The graduation rate in New York City has increased by 50 percent in 13 years""",True,78
102,Republican News,1,"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",False,85
108,Robert Chody,1,"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",False,77
125,news.groopspeak.com,1,"""Breaking: federal judge grants permission to subpoena Trump.""",False,62
126,PuppetStringNews.com,3,"""Tennessee GOP twitter taken down after tweet exposing Pelosi involved in pedophilia.""",Pants on Fire!,86
132,Nova magazine,1,"""Prince Harry says Donald Trump is not welcome at his wedding: ‘Trump is a serious threat to human rights.’ """,Pants on Fire!,109
139,religionmind.com,2,"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",Pants on Fire!,103
140,religionmind.com,2,"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",Pants on Fire!,103
148,Reaganwasright,1,"""President Trump just saved Christmas for 13 million retirees.""",Pants on Fire!,63
150,soutwest-air.com,1,"""Southwest Airlines celebrating 50th anniversary by providing 2 free tickets to everyone!""",Pants on Fire!,90
151,Ann Wagner,1,"""Satanists have teamed up with the ACLU and Planned Parenthood in Missouri to roll back the rights of the unborn.""",False,114
153,Wisconsin Department of Transportation,1,"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""",True,104
159,Pipo News,1,"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",False,91
160,Freshmedianews.com,1,"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""",False,72
164,Brian Higgins,1,"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",False,153
165,world-newss.com,1,"""2 million rounds of ammo that ‘went missing’ under Obama turns up in enemy hands""",Pants on Fire!,82
195,Michael Williams,1,"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",False,187
203,FreedomJunkshun.com,3,"""Supreme Court issues its first bench warrant ever.""",Pants on Fire!,52
207,Adam Putnam,1,"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",True,80
224,New York Republican State Committee,1,"""Liberals in County Hall want our community to be a sanctuary county""",Pants on Fire!,69
225,Michael Kearns,1,"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",True,93
229,Eric Holcomb,1,"""We’re growing union jobs faster than Illinois.""",True,48
232,Nancy McFarlane,1,"""We are spending more on affordable housing than we're spending on Dix Park right now.""",True,87
235,John Cox,1,"""It costs nearly five times as much in California to build and maintain a mile of road as it does in the rest of the nation.""",False,125
236,BreakingNews247.net,1,"""Alabama’s Crimson Tide was disqualified from national championship.""",Pants on Fire!,69
242,FreedomJunkshun.com,3,"""Hillary Clinton leaves the country as Mueller indictment is announced.""",Pants on Fire!,72
243,FreedomJunkshun.com,3,"""Breitbart leaks names of four Dems being charged in Mueller’s Russia probe.""",Pants on Fire!,77
250,Delaine Eastin,1,"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""",True,292
259,Travis Forward,1,"""The Travis County propositions will not raise your taxes! If you are 65 or older, your property taxes are frozen.""",False,115
270,React365.com,1,"""Tulsa school closes after brutal fire.""",Pants on Fire!,40
271,Dane County Republican Party,1,"""The KKK was founded as the military arm of the Democratic Party.""",False,66
290,AsAmericanAsApplePie.org,3,"""Hillary (Clinton) caught on tape laughing about (Hurricane) Irma ‘wiping out all of those Florida hillbillies’.""",Pants on Fire!,113
292,AsAmericanAsApplePie.org,3,"""San Juan city council votes unanimously to impeach Trump-hating mayor.""",Pants on Fire!,72
