veracity,statement,light_normalization
False,"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""","""our courts find that 80 percent of those who do file for asylum arent qualified for it, do not merit that relief."""
True,"""Migrant mother and ‘crying girl’ on Time cover never separated.""","""migrant mother and crying girl on time cover never separated."""
True,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""","""under emanuel, cps has become the most understaffed school district in illinois."""
False,"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""","""our courts find that 80 percent of those who do file for asylum arent qualified for it, do not merit that relief."""
False,"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""","""facebook picks sides in alabama senate race ... shuts down gateway pundit and breitbart reports on discredited allred accuser"""
False,"""I released way more (tax) information than Bruce Rauner has.""","""i released way more (tax) information than bruce rauner has."""
False,"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""","""earlier this year, hurricane harvey left more than 12 million people in texas and louisiana without homes."""
True,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""","""under emanuel, cps has become the most understaffed school district in illinois."""
True,"""The graduation rate in New York City has increased by 50 percent in 13 years""","""the graduation rate in new york city has increased by 50 percent in 13 years"""
False,"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""","""first indictment issued in russian bribery case tied to obama-era uranium one deal."""
False,"""Almost half of all vehicles stolen in Texas each year had keys left inside.""","""almost half of all vehicles stolen in texas each year had keys left inside."""
False,"""Breaking: federal judge grants permission to subpoena Trump.""","""breaking: federal judge grants permission to subpoena trump."""
False,"""Satanists have teamed up with the ACLU and Planned Parenthood in Missouri to roll back the rights of the unborn.""","""satanists have teamed up with the aclu and planned parenthood in missouri to roll back the rights of the unborn."""
True,"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""","""wisconsin's driver licenses and identification (id) cards are currently the most secure in the nation."""
False,"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""","""civil war erupts in sweden as irate swedes burn nine muslim refugee centers to the ground"""
False,"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""","""the largest bust in u.s. history 412 muslims arrested from michigan!"""
False,"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""","""the elimination of income and sales taxes in new york is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000"""
False,"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""","""many firearms experts determined the las vegas shooters use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control."""
True,"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""","""the no. 1 job vacancy in florida every month for seven years has been nursing."""
True,"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""","""when i saw corruption and sexual harassment cover-ups i called on sheldon silver to resign."""
True,"""We’re growing union jobs faster than Illinois.""","""were growing union jobs faster than illinois."""
True,"""We are spending more on affordable housing than we're spending on Dix Park right now.""","""we are spending more on affordable housing than we're spending on dix park right now."""
False,"""It costs nearly five times as much in California to build and maintain a mile of road as it does in the rest of the nation.""","""it costs nearly five times as much in california to build and maintain a mile of road as it does in the rest of the nation."""
True,"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""","""ninety percent of people born in the 1940s ended up doing better financially than their parents. but those born in the 1980s, the much-maligned millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history."""
